htid,author,title,year
osu.32435011346137,"Balfour, Frederic Henry", The Expiation of Eugene,1904
osu.32435015981004,"Newte, Horace", Sparrows,1909
pst.000000806688,HG Wells,The War of the Worlds,1897
pst.000002272559,"Brunton, Mary", Discipline,1815
pst.000005402502,"Dowie, M?nie Muriel", Gallia,1895
pst.000006659011,"Buxton, Bertha Henry", Nell?n and Off the Stage,1880
pst.000006716912,"Sturgis, Howard", Belchamber,1904
pst.000007482205,Gilbert & Sullivan,The Micado,1885
pst.000009553439,DH Lawrence,Trespasser,1912
pst.000045233944,Robert Louis Stevenson,Kidnapped,1886
uc1.$b245266,"Lee, Charles James", Our Little Town,1911
uc1.$b284218,"Hay, Ian (Beith, John Hay)", Happy-go-lucky,1913
uc1.$b299810,GK Chesterton,Club of Queer Trades,1905
uc1.$b312690,"Tracy, Louis", Wings of the Morning,1903
uc1.$b686378,"Shelley, Percy Bysshe,",Queen Mab,1813
uc1.$b808697,"Wilde, Oscar,",The picture of Dorian Gray,1890
uc1.$c35754,"Cavendish, Georgiana", The Passage of the Mountain of Saint Gothard,1802
uc1.31158000564988,"Stoker, Bram,","Dracula's guest, and other weird stories",1897
uc1.31158001937191,"Doyle, Arthur Conan,",The white company,1891
uc1.31158009967638,"Caird, Mona", The Pathway Of The Gods,1898
uc1.31175024000047,Arthur Conan Doyle,The Firm of Girdlestone,1890
uc1.31175035193542,"Collier, Jane", The Cry: A New Dramatic Fable ,1754
uc1.31175035207938,"Griffith, George", The Virgin of the Sun: A Tale of the Conquest of Peru,1898
uc1.31175035210809,"Rowson, Susanna", Charlotte: a Tale of Truth,1790
uc1.31175035242885,Alfred Lord Tennyson,Idylls of the King,1859
uc1.31175035242943,Arthur Machen,The Great God Pan,1890
uc1.31175035538936,"Sheridan, Frances", Memoirs of Miss Sidney Bidulph,1761
uc1.31175035539041,"Ferrier, Susan Edmonstone", Destiny,1831
uc1.31175035579302,"Lamb, Lady Caroline", Glenarvon,1816
uc1.31175035645285,"Caird, Mona", The Logicians: An episode in dialogue,1902
uc1.31822005129259,David Moore,A Voyage to the Arctic in the Whaler Aurora,1911
uc1.32106001930194,GK Chesterton,Man Who was Thursday,1908
uc1.32106001959946,"Wells, H. G.",The food of the gods and how it came to earth,1904
uc1.32106006123852,"Thackeray, William Makepeace,",Vanity fair,1847
uc1.a0001319441,"Ferrier, Susan Edmonstone", Marriage,1819
uc1.b2835184,"Morier, James Justinian", The Adventures of Hajji Baba of Ispahan in England,1828
uc1.b3264381,"Shelley, Percy Bysshe,",The revolt of Islam,1818
uc1.b3321852,"Disraeli, Benjamin,","Sybil, or, The two nations",1845
uc1.b3327310,"Von Arnim, Elizabeth",  Elizabeth and Her German Garden,1898
uc1.b3331970,"Scott, Walter,",Peveril of the peak,1823
uc1.b3331979,"Stevenson, Robert Louis,",The master of Ballantrae,1889
uc1.b3339766,"Scott, Walter,",The fortunes of Nigel,1822
uc1.b3445494,"Thackeray, William Makepeace,",The Newcomes;,1854
uc1.b3575739,"Richardson, Samuel,","Pamela, or Virtue rewarded;",1740
uc1.b3578383,"Ferrier, Susan Edmonstone", The Inheritance,1824
uc1.b3578478,"Doyle, Arthur Conan,",The sign of four,1890
uc1.b3578718,"Hardy, Thomas,",Jude the obscure,1895
uc1.b3578724,"Hardy, Thomas,",Tess of the D'Urbervilles,1892
uc1.b3865946,"Lytton, Edward Bulwer Lytton,",The last days of Pompeii,1834
uc1.b4091384,"Lawrence, D. H.",The lost girl,1920
uc1.b4091415,McFee, Aliens,1914
uc1.b4100982,"Scott, Walter,",A legend of Montrose,1819
uc1.b4101002,"Scott, Walter,",The pirate,1822
uc1.b4102859,"Dickens, Charles,",Life and adventures of Nicholas Nickelby,1839
